Unnamed: 0,country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
2271,Argentina,1981,ARG,28463957,349782016000,3.323,0.117,101.969,-6.688,-6.155,147.343,-8.765,-5.615,5.176,0.421,0.322,3.582,0.292,0.223,2.957,0.104,,,,70.341,2672.337,11727.814,395.306,64.183,284.966,9127.823,1857.541,,16085.102,1.309,5.144,0.181,20.485,0.72,4.516,9.998,45.375,1.594,118.673,4.169,33.592,1.18,70.059,2.461,,,457.964,0.818,0.536,0.618,0.042,0.853,0.43,0.958,0.108,0.998,0.567,1.505,0.97,,2.169,0.733,0.939,0.82,,1.402,0.005,0.006,0.012,0.001,284.574,128.532,,
2272,Argentina,1982,ARG,28924269,338761515008,2.815,0.097,103.351,1.383,1.356,148.151,0.808,0.549,5.122,0.437,0.318,3.573,0.305,0.222,2.66,0.092,,,,73.156,2775.688,11875.966,397.966,69.778,308.214,9172.623,1926.573,,16129.603,1.377,5.595,0.193,23.249,0.804,4.521,9.78,44.8,1.549,117.163,4.051,33.446,1.156,69.032,2.387,,,466.513,0.696,0.548,0.633,0.037,0.846,0.433,0.952,0.107,1.047,0.582,1.501,0.964,,2.375,0.851,0.986,0.827,,1.391,0.005,0.006,0.012,0.001,282.869,130.775,,
2273,Argentina,1983,ARG,29391333,350706597888,2.818,0.096,105.142,1.791,1.733,149.939,1.788,1.207,5.101,0.428,0.309,3.577,0.3,0.216,2.191,0.075,,,,75.974,2880.83,12025.906,400.158,74.973,334.478,9217.42,1995.247,,16535.426,1.385,5.196,0.177,26.264,0.894,4.558,9.815,44.797,1.524,120.066,4.085,33.85,1.152,68.674,2.337,,,485.764,0.681,0.554,0.631,0.03,0.838,0.437,0.946,0.106,1.09,0.6,1.496,0.959,,2.441,0.951,0.936,0.832,,1.383,0.005,0.006,0.012,0.001,288.464,133.965,,
2274,Argentina,1984,ARG,29863091,357844353024,2.618,0.088,106.452,1.31,1.246,150.779,0.839,0.56,5.049,0.421,0.309,3.565,0.297,0.218,2.147,0.072,,,,78.591,2987.281,12176.684,402.305,82.122,361.779,9261.748,2062.484,,16336.176,1.362,7.149,0.239,27.301,0.914,4.555,9.791,44.327,1.484,121.29,4.062,34.038,1.14,67.237,2.251,,,487.344,0.621,0.542,0.596,0.028,0.829,0.44,0.939,0.104,1.162,0.616,1.49,0.953,,3.828,0.907,0.786,0.808,,1.373,0.005,0.006,0.012,0.001,292.39,136.013,,
2275,Argentina,1985,ARG,30336448,334171439104,2.325,0.077,100.531,-5.92,-5.562,143.956,-6.823,-4.525,4.745,0.431,0.299,3.314,0.301,0.209,2.774,0.091,,,,80.916,3087.812,12320.641,405.078,88.31,390.588,9305.173,2122.919,,15901.774,1.441,6.188,0.204,28.809,0.95,4.288,9.272,43.425,1.431,120.626,3.976,33.567,1.107,60.435,1.992,,,481.619,0.546,0.495,0.562,0.034,0.816,0.441,0.932,0.103,1.218,0.632,1.484,0.944,,3.399,0.923,0.821,0.726,,1.361,0.005,0.006,0.012,0.001,281.289,130.077,,
2276,Argentina,1986,ARG,30811983,358634684416,2.789,0.091,104.15,3.619,3.6,146.849,2.893,2.009,4.766,0.409,0.289,3.38,0.29,0.205,3.393,0.11,,,,83.705,3191.963,12467.49,408.471,93.114,421.553,9347.872,2185.12,,16549.99,1.419,4.804,0.156,30.964,1.005,4.356,9.21,42.699,1.386,119.073,3.864,33.074,1.073,62.2,2.019,,,508.885,0.631,0.505,0.562,0.041,0.809,0.443,0.925,0.101,1.255,0.65,1.478,0.936,,2.82,1.016,0.773,0.726,,1.348,0.005,0.006,0.012,0.001,283.787,134.208,,
2277,Argentina,1987,ARG,31291764,367893610496,3.169,0.101,114.877,10.727,10.3,157.474,10.625,7.236,5.032,0.428,0.296,3.671,0.312,0.216,3.778,0.121,,,,86.875,3306.84,12624.964,412.249,97.892,458.251,9390.468,2251.573,,17037.08,1.446,4.778,0.153,36.699,1.173,4.649,9.421,42.597,1.361,117.286,3.748,32.828,1.049,66.454,2.124,,,531.837,0.69,0.541,0.592,0.044,0.804,0.446,0.918,0.1,1.291,0.672,1.472,0.93,,2.919,1.109,0.798,0.769,,1.336,0.005,0.007,0.012,0.001,294.797,145.489,,
2278,Argentina,1988,ARG,31780533,360921169920,3.047,0.096,121.405,6.528,5.682,161.914,4.44,2.819,5.095,0.449,0.299,3.82,0.336,0.225,4.023,0.127,,,,89.921,3428.245,12786.877,416.272,103.762,500.484,9430.978,2317.806,,17062.936,1.498,5.87,0.185,42.233,1.329,4.833,9.692,40.509,1.275,120.323,3.786,32.921,1.036,66.232,2.084,,,540.738,0.631,0.55,0.594,0.045,0.796,0.449,0.912,0.099,1.336,0.698,1.467,0.924,,3.149,1.218,0.783,0.739,,1.324,0.005,0.007,0.013,0.001,308.005,153.599,,
2279,Argentina,1989,ARG,32270958,338520801280,2.253,0.07,117.02,-4.384,-3.611,157.127,-4.787,-2.956,4.869,0.464,0.301,3.626,0.346,0.224,4.144,0.128,,,,92.174,3545.265,12944.005,420.416,110.023,545.093,9471.085,2377.559,,16211.047,1.54,6.262,0.194,44.609,1.382,4.647,9.576,40.107,1.243,121.828,3.775,32.63,1.011,59.753,1.852,,,521.441,0.457,0.523,0.575,0.047,0.782,0.451,0.906,0.098,1.389,0.724,1.462,0.914,,4.126,1.225,0.81,0.655,,1.313,0.005,0.007,0.013,0.001,309.019,149.972,,
2280,Argentina,1990,ARG,32755907,338751160320,1.822,0.056,112.149,-4.872,-4.163,152.031,-5.096,-3.243,4.641,0.449,0.296,3.424,0.331,0.219,3.14,0.096,112.985,3.449,0.334,93.996,3657.414,13096.036,423.556,114.808,588.306,9510.967,2436.747,,15718.703,1.514,4.785,0.146,43.213,1.319,4.429,9.535,39.882,1.218,122.548,3.741,33.238,1.015,59.188,1.807,,,513.022,0.369,0.493,0.549,0.036,0.765,0.452,0.899,0.097,1.404,0.744,1.457,0.905,,1.849,1.135,0.801,0.64,,1.304,0.005,0.007,0.013,0.001,312.334,145.081,0.836,0.745
